State,10-19歲,20-29歲,30-39歲,40-49歲,50-59歲,60-69歲,70-79歲
台北縣,0.4,24.6,33.4,14,16.2,11.1,13
宜蘭縣,3.3,14.1,22.9,23.2,15.8,3.9,16.8
桃園縣,14.8,7.1,27.3,27.9,17.4,16.6,5.5
新竹縣,9.6,11.2,19.9,26.4,21.5,9.8,12.6
苗栗縣,4.9,40.7,12.9,28,6.7,14.7,6.3
台中縣,0,21.8,21.7,24.5,17,6.8,12.7
彰化縣,10.4,16.4,19.4,22.5,22.2,10.9,7.8
南投縣,0,16.6,34.5,15.1,20.6,12.5,3.5
雲林縣,5.3,22,20.7,25.9,19,13.8,8.5
嘉義縣,9.7,6.9,19.7,19.1,19.8,11.2,5
台南縣,7.7,33.4,29.5,16,14.5,10.5,7.4
高雄縣,6.7,5.6,26.2,20.2,14.2,2.2,6.1
屏東縣,10.5,13.8,14.1,17,14.2,18.5,5.1
台東縣,1,21,29,21.6,25,11.7,7.3
花蓮縣,8.2,39.6,33,17.1,23.6,11.7,4
澎湖縣,10.9,25.9,31.1,29.2,17.5,15.2,5.6
基隆市,8.1,28.9,22.4,32,19.9,13.5,8.7
新竹市,5,17.4,18.5,21.2,13.1,13.2,7.3
台中市,1.2,7.4,30.7,24,12.9,10.6,8.3
嘉義市,0,21.3,27.8,17,7.8,9.3,9.5
台南市,12.3,3.5,12.6,23,12.6,13.6,3.4
金門縣,7.8,10.8,24.8,28.1,11.6,6.2,7
連江縣,0,15.9,43.5,23,8.2,6.6,0
台北市,3.1,9.9,13.9,19.3,12.4,13.5,6.8
高雄市,4.1,10,15.2,25.3,11.8,8.4,10.7
